,,P(i),Sum over all n(ij),Total Responses,Organism,Environment,Quality,Mat & Subst,Method,Data Type,Process,Anatomy,Location,Time,Event,Person & Org,Human Inter,Other,None,Other Category,Comment
sphaerothecaAp,Sphaerotheca aphanis,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Macedonia,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
microActivity,microbial activities,0.5833333333333333,42,9,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,biod. var.,
,microbial,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
diversityCityAgri,diversity of species traits,0.19444444444444442,14,9,0,0,4,0,1,1,0,1,0,0,0,0,0,2,0,(species) community characteristic::biodiversity response; index,
,species traits,0.41666666666666663,30,9,0,0,6,0,0,1,0,1,0,0,0,0,0,1,0,concept for organism features,
,cities,0.25,18,9,0,4,0,0,0,0,0,0,3,0,0,0,1,1,0,land use,
,agricultural areas,0.3055555555555555,22,9,0,5,0,0,0,0,0,0,2,0,0,0,1,1,0,land use,
ecosystemServ,biodiversity,0.1388888888888889,10,9,2,1,3,0,0,0,0,0,0,0,0,0,0,2,1,variety and variability of organisms::Ecosystem service,ecosystem service (delivery) -> quality of environment?
,ecosystem service delivery,0.3055555555555555,22,9,0,1,2,0,0,0,5,0,0,0,0,0,1,0,0,,
,ecosystem service,0.1111111111111111,8,9,0,1,2,1,0,0,3,0,0,0,0,0,1,1,0,ecosystem function,
substancesX,substances X,0.7777777777777777,56,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,,
,mammals,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
treeSpeciesDiv,global map,0.2222222222222222,16,9,0,0,0,0,1,4,0,0,2,0,0,0,0,2,0,variability and variety of organisms::analysis of data / data product,
,tree species diversity,0.19444444444444442,14,9,1,0,2,0,0,1,0,0,0,0,0,0,0,4,1,biodiversity response; index::biod. var.::Ecosystem service,
,tree species,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
filtrationVolume,effect of filtration volume,0.1388888888888889,10,9,0,0,2,0,1,0,2,0,0,0,1,0,0,3,0,parameter?::effect,I do not know where to put different types.
,filtration volume,0.16666666666666666,12,9,0,1,3,1,1,0,0,0,0,0,0,0,0,3,0,measure::quantität::Parameter,
,filtration,0.5,36,9,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,,
,yield on DNA/RNA,0.08333333333333333,6,9,0,0,2,0,0,2,1,1,0,0,0,0,0,2,1,parameter?::domain::Parameter,
,DNA,0.19444444444444442,14,9,0,0,0,3,0,1,0,3,0,0,0,0,0,2,0,genetic,
,RNA,0.19444444444444442,14,9,0,0,0,3,0,1,0,3,0,0,0,0,0,2,0,genetic,
,different types,0.2222222222222222,16,9,1,0,2,0,0,0,0,0,0,0,0,0,0,2,4,term,
factor,crop yield increase,0.19444444444444442,14,9,0,0,1,0,0,0,2,0,0,0,0,0,3,3,0,parameter?::measure,
,crop yield,0.25,18,9,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,measure,
,cacoa,0.7777777777777777,56,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
holothuriansM,holothurians,0.7777777777777777,56,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?,
,4000m (depth),0.3333333333333333,24,9,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,functional location / vertical location,
sedimentSamples,species,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,water,0.3333333333333333,24,9,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,,
,sediment samples,0.19444444444444442,14,9,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,,
,sediment,0.5,36,9,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,,
paridaeLandUse,species richness of Paridae,0.3333333333333333,24,9,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0,Family feature::biodiversity index::quantity; value::Ecosystem service,
,Paridae,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,land-use type,0.5833333333333333,42,9,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,land use,
molecularComp,organic matter context,0.19444444444444442,14,9,0,1,3,3,0,0,0,0,0,0,0,0,0,2,0,environmental parameter / environmental variable::var / context,organic matter context & molecular composition of the groundwater -> quality of environment?
,organic matter,1.0,72,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,
,molecular composition of the groundwater,0.1388888888888889,10,9,0,1,2,3,0,0,0,0,0,0,0,0,0,2,1,(species) community characteristic::var::Parameter,
,groundwater,0.5,36,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,,
foodWebs,food webs,0.1111111111111111,8,9,1,1,0,0,0,2,1,0,0,0,0,0,0,3,1,species interaction::biod. var.,I do not know where to place food webs.
,north sea,0.611111111111111,44,9,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,,
archaeaSpecies,archaea species,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,upper soil,0.4444444444444444,32,9,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,,
,groundwater,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
monoCulture,feed of grasshopper,0.1111111111111111,8,9,0,1,0,1,0,0,2,1,0,0,0,0,0,3,1,diet,
,grasshopper,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,natural habitat,0.5833333333333333,42,9,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,,
,mono-culture,0.3055555555555555,22,9,0,5,1,0,0,0,0,0,0,0,0,0,2,1,0,land use,
,gut microbiome,0.08333333333333333,6,9,2,0,0,1,0,0,0,1,0,0,0,0,1,2,2,,
higherBiodiversity,cities,0.25,18,9,0,4,0,0,0,0,0,0,3,0,0,0,1,1,0,land use,
,biodiversity,0.25,18,9,1,0,3,0,1,0,0,0,0,0,0,0,0,4,0,variety and variability of organisms::biod. var.::Ecosystem parameter,
,agricultural areas,0.25,18,9,0,4,0,0,0,0,0,0,3,0,0,0,1,1,0,land use,
varietiesLatvia,varieties of Erysiphe aquilegiae,0.3611111111111111,26,9,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,Parameter,
,Erysiphe aquilegiae,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Latvia,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
treeInsect,trees,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,insects,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,location,0.7777777777777777,56,9,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,,
leafAreaIndex,leaf area index,0.1388888888888889,10,9,0,1,3,0,2,1,0,0,0,0,0,0,0,2,0,parameter::Ecosystem parameter,in this case (leaf area index) diversity could be a trait of plants
,diversity,0.19444444444444442,14,9,2,0,3,0,0,0,0,0,0,0,0,0,0,3,1,community characteristic::Ecosystem service,
microbialCom,vertical transport of microbial communities,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,microbial communities,0.3333333333333333,24,9,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,community::biod. var.,
,microbial,0.3333333333333333,24,9,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,,
microbs,microbes,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer surfaces,0.4444444444444444,32,9,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,,
,aquifer,0.5833333333333333,42,9,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,,
wellHYZ,types of bacteria,0.7777777777777777,56,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,I do not know H.Y.Z?
,H.Y.Z.,0.3611111111111111,26,9,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,?,
copepodEggs,eggs per day,0.4444444444444444,32,9,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,rate::Paramter,
,eggs,0.19444444444444442,14,9,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,,
,copepods,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
megafauna,megafauna,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,I do not understand this question correctly
,echinoderms,0.7777777777777777,56,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,abundance,0.19444444444444442,14,9,0,0,3,0,0,2,1,0,0,0,0,0,0,3,0,community characteristic::biodiv. var.::Ecosystem parameter,
,trawls,0.1111111111111111,8,9,0,0,0,0,2,2,0,0,0,0,0,0,2,2,1,?,
,images,0.41666666666666663,30,9,0,0,0,0,1,6,0,0,0,0,0,0,0,1,1,,
insectAbundances,abundances of insects,0.25,18,9,0,0,3,0,0,1,1,0,0,0,0,0,0,4,0,community characteristic::biod. var.::Parameter,beeches and spruces could also be environment in this case
,insects,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,canopies,0.4444444444444444,32,9,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,biod. term,
,beeches,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,spruces,0.7777777777777777,56,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
waterParameters,water patterns,0.1388888888888889,10,9,0,0,2,1,0,1,0,0,0,0,0,0,0,3,2,parameter?::pattern,
,VLP counts,0.1388888888888889,10,9,0,0,1,0,2,1,0,0,0,0,0,0,0,2,3,?,
zone,critical zone,0.3611111111111111,26,9,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,,could also be a location
protectionZones,groundwater protection zones,0.3611111111111111,26,9,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,conservation status,
,groundwater,0.5,36,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,,
tracerFactor,tracer,0.2222222222222222,16,9,0,0,0,2,4,0,0,0,0,0,0,0,0,2,1,function,I am not quite sure about placing tracer as a method.
aquiferRocks,aquifer rocks,0.4444444444444444,32,9,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,,
,aquifer,0.5833333333333333,42,9,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,,
bioPores,earthworm burrows(biopores),0.1111111111111111,8,9,1,3,0,0,0,1,0,2,0,0,0,0,0,1,1,var,earthworm burrows(biopores) -> quality of environment?
,earthworm,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,infiltration processes,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,transport processes,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,rainfall events,0.5833333333333333,42,9,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,,
oxicAquifer,microbial key-players,0.7777777777777777,56,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,oxic -> quality of environment?
,microbial,0.19444444444444442,14,9,4,1,2,0,0,0,0,0,0,0,0,0,0,1,1,,
,oxic acquifer,0.7777777777777777,56,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,oxic,0.2222222222222222,16,9,0,2,4,2,0,0,0,0,0,0,0,0,0,1,0,,
driverTransport,driver,0.16666666666666666,12,9,0,0,1,0,0,1,1,0,0,0,0,0,0,3,3,driver::domain term,I do not know whether the driver can be an organism or a process or both.::drivers might be biotic (Organisms) or abiotic (environment?)
,deposition,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,transport of marine phages,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,marine phage,0.7777777777777777,56,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,transport of terrestrial phages,1.0,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,
,terrestrial phages,0.7777777777777777,56,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,subsurface,0.3611111111111111,26,9,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,functional location,
globalFrog,global frog distribution,0.1111111111111111,8,9,0,0,1,0,0,2,1,0,1,0,0,0,0,3,1,spatial pattern::biod. var.::Parameter,
,global,1.0,72,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,,
,frog,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
plantDiversity,plant diversity,0.25,18,9,1,0,4,0,0,1,0,0,0,0,0,0,0,3,0,community characteristic::biod. var.::Parameter,
,plant,0.7777777777777777,56,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,species richness,0.25,18,9,1,0,4,0,1,0,0,0,0,0,0,0,0,3,0,community characteristic::biod. var.::Parameter,
,functional group composition,0.25,18,9,1,0,4,0,1,0,0,0,0,0,0,0,0,3,0,community characteristic::biod. var.::Parameter,
,functional group,0.16666666666666666,12,9,4,1,1,0,1,0,0,0,0,0,0,0,0,1,1,biod. var.,
,root decomposition,0.5833333333333333,42,9,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,ecosystem function,
,root,0.4444444444444444,32,9,0,1,0,0,0,0,0,6,0,0,0,0,0,0,2,pant part::plant part,
,grassland,0.7777777777777777,56,9,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,land use,
groundwaterSig,surface signals,0.05555555555555555,4,9,0,1,1,1,0,1,2,0,0,0,0,0,0,2,1,var,
,surface,0.3333333333333333,24,9,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,functional location,
,groundwater,0.611111111111111,44,9,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,,
thalassemaThala,populations of Thalassema thalassemum,0.3055555555555555,22,9,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0,population::biod. var.,
,Thalassema thalassemum,1.0,72,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,reproductive period,0.2777777777777778,20,9,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,,
,year,1.0,72,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,,
treePopulation,lidar data,0.7777777777777777,56,9,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,,
,air,0.3611111111111111,26,9,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,,
,soils,0.4444444444444444,32,9,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,,
,tree population,0.5833333333333333,42,9,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,population,
climateChange,climate change,0.3055555555555555,22,9,0,1,0,0,0,0,5,0,0,0,2,0,0,1,0,climate change::var,


,Summary,,,,1075,825,472,641,102,192,557,78,458,66,70,18,78,513,183
,P,0.5484234234234234,,p(j),0.20176426426426428,0.15484234234234234,0.08858858858858859,0.12030780780780781,0.019144144144144143,0.036036036036036036,0.10454204204204204,0.01463963963963964,0.08596096096096097,0.012387387387387387,0.013138138138138139,0.0033783783783783786,0.01463963963963964,0.09628378378378379,0.03434684684684685,
,,,,Pe,0.11820667796174555
,,,,p(j)(I),0.1610554459301644,0.1308661913602792,0.08074065056047038,0.10583383918828738,0.018777645889132374,0.03473744014284555,0.09361300348772196,0.014425320590861131,0.0785716741516291,0.012233940021102183,0.01296552746440134,0.003366964937910884,0.014425320590861131,0.08701321676406136,0.033167140958526097,
,,,,Pe(I),0.06298523728844675
,Fleiss Kappa,0.4878884141095979
,GWET,0.5180688773037101
